drugbank-id,resource,url
BIOD00024,RxList,http://www.rxlist.com/cgi/generic/lepirudin.htm
BIOD00024,Drugs.com,http://www.drugs.com/cdi/lepirudin.html
BIOD00071,RxList,http://www.rxlist.com/cgi/generic3/erbitux.htm
BIOD00071,Drugs.com,http://www.drugs.com/cdi/cetuximab.html
BIOD00001,RxList,http://www.rxlist.com/cgi/generic/pulmozyme.htm
BIOD00001,Drugs.com,http://www.drugs.com/cdi/dornase-alfa.html
BIOD00084,RxList,http://www.rxlist.com/cgi/generic2/denileukin.htm
BIOD00084,Drugs.com,http://www.drugs.com/cdi/denileukin-diftitox.html
BIOD00052,RxList,http://www.rxlist.com/cgi/generic/etanercept.htm
BIOD00052,Drugs.com,http://www.drugs.com/cdi/etanercept.html
DB02351,RxList,http://www.rxlist.com/cgi/generic/angiomax.htm
DB02351,Drugs.com,http://www.drugs.com/cdi/bivalirudin.html
BIOD00009,RxList,http://www.rxlist.com/cgi/generic/eligard.htm
BIOD00009,Drugs.com,http://www.drugs.com/cdi/leuprolide.html
BIOD00043,RxList,http://www.rxlist.com/cgi/generic3/pegasys.htm
BIOD00043,Drugs.com,http://www.drugs.com/cdi/peginterferon-alfa-2a.html
BIOD00050,RxList,http://www.rxlist.com/cgi/generic/alteplas.htm
BIOD00050,Drugs.com,http://www.drugs.com/cdi/alteplase.html
BIOD00033,RxList,http://www.rxlist.com/cgi/generic2/sermorelin.htm
BIOD00033,Drugs.com,http://www.drugs.com/cdi/sermorelin-acetate.html
BIOD00032,RxList,http://www.rxlist.com/cgi/generic/aranesp.htm
BIOD00032,Drugs.com,http://www.drugs.com/cdi/darbepoetin-alfa-albumin.html
BIOD00030,RxList,http://www.rxlist.com/cgi/pharmclips2.cgi?keyword=%20Abbokinase%AE
BIOD00030,Drugs.com,http://www.drugs.com/mtm/urokinase.html
BIOD00113,RxList,http://www.rxlist.com/cgi/generic/goserel.htm
BIOD00113,Drugs.com,http://www.drugs.com/cdi/goserelin.html
