drugbank-id,title,url
BIOD00024,Google books,http://books.google.com/books?id=iadLoXoQkWEC&pg=PA440
BIOD00052,Link,http://web.b.ebscohost.com.login.ezproxy.library.ualberta.ca/dynamed/detail?vid=4&sid=eeea413d-1490-4efa-bf5d-71f40e1986a1%40sessionmgr111&hid=123&bdata=JnNpdGU9ZHluYW1lZC1saXZlJnNjb3BlPXNpdGU%3d#db=dme&AN=232781
BIOD00009,RxMed,http://www.rxmed.com/b.main/b2.pharmaceutical/b2.1.monographs/CPS-%20Monographs/CPS-%20(General%20Monographs-%20L)/LUPRON%20DEPOT.html
BIOD00043,"American Association for the Study of Liver Diseases; Infectious Diseases Society of America. HCV guidance. http://hcvguidelines.org. Accessed June 12, 2017.",http://hcvguidelines.org/full-report-view
DB08923,FDA News Release: FDA approves first epoetin alfa biosimilar for the treatment of anemia,https://www.fda.gov/NewsEvents/Newsroom/PressAnnouncements/ucm607703.htm
BIOD00048,"American Association for the Study of Liver Diseases; Infectious Diseases Society of America. HCV guidance. http://hcvguidelines.org. Accessed June 12, 2017.",http://hcvguidelines.org/full-report-view
BIOD00011,"UniProtKB - V6FYV8 (V6FYV8_ECOLX): E. coli L-asparaginase, type II FASTA sequence ",http://www.uniprot.org/uniprot/V6FYV8
BIOD00061,UKPAR for Desmopressin acetate 100mcg and 200mcg Tablets,http://www.mhra.gov.uk/home/groups/par/documents/websiteresources/con2033807.pdf
BIOD00056,Link,http://search.ebscohost.com/login.aspx?direct=true&site=DynaMed&id=233015
BIOD00049,Patent: Methods related to adalimumab,https://patents.google.com/patent/US20150158943
BIOD00077,FDA Press Announcements: FDA approves Mylotarg for treatment of acute myeloid leukemia,https://www.fda.gov/NewsEvents/Newsroom/PressAnnouncements/ucm574507.htm?source=govdelivery&utm_medium=email&utm_source=govdelivery
BIOD00079,Link,http://search.ebscohost.com/login.aspx?direct=true&site=DynaMed&id=233015
DB00064,Plasbumin,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=ead60f3e-9dcc-7afe-2220-4f2381f3c140
BIOD00004,"FDA Label: IXIFI (infliximab-qbtx) for injection, for Intravenous Use",https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/761072s000lbl.pdf
BIOD00078,Link,http://www.kegg.jp/entry/D00746
BIOD00062,Link,http://www.google.com/patents/EP0422697A1?cl=en
BIOD00098,US Patent US6870034B2 (includes Trastuzumab heavy chain sequence),https://patents.google.com/patent/US6870034
BIOD00014,Link,http://planetorbitrap.com/data/uploads/528fce2e395be.pdf
BIOD00069,Link,http://web.b.ebscohost.com/dynamed/detail?vid=6&sid=48a6db20-234e-4280-b18e-dcd0e2fed388%40sessionmgr198&hid=102&bdata=JnNpdGU9ZHluYW1lZC1saXZlJnNjb3BlPXNpdGU%3d#db=dme&AN=232878
BIOD00111,Link,http://www.google.com/patents/WO2002059322A2?cl=en
DB05356,EMA reports,http://www.ema.europa.eu/docs/en_GB/document_library/EPAR_-_Public_assessment_report/human/002070/WC500210680.pdf
BIOD00080,Link,http://www.google.com/patents/US5162504
BIOD00003,Link,http://www.patentgenius.com/patent/6927208.html
BIOD00055,Link,http://web.b.ebscohost.com.login.ezproxy.library.ualberta.ca/dynamed/detail?vid=9&sid=78010ea4-6f9c-4d5a-a7df-a148b3891321%40sessionmgr110&hid=123&bdata=JnNpdGU9ZHluYW1lZC1saXZlJnNjb3BlPXNpdGU%3d#db=dme&AN=232900
BIOD00104,Link,http://online.lexi.com.login.ezproxy.library.ualberta.ca/lco/action/doc/retrieve/docid/patch_f/797#f_pharmacology-and-pharmacokinetics
BIOD00040,Link,http://web.b.ebscohost.com.login.ezproxy.library.ualberta.ca/dynamed/detail?vid=7&sid=78010ea4-6f9c-4d5a-a7df-a148b3891321%40sessionmgr110&hid=123&bdata=JnNpdGU9ZHluYW1lZC1saXZlJnNjb3BlPXNpdGU%3d#db=dme&AN=356335
BIOD00053,Link,http://online.lexi.com.login.ezproxy.library.ualberta.ca/lco/action/doc/retrieve/docid/patch_f/6420#f_pharmacology-and-pharmacokinetics
BIOD00016,Link,http://search.ebscohost.com/login.aspx?direct=true&site=DynaMed&id=233015
BIOD00007,U.S. FDA Zinbryta (daclizumab)  Prescribing Information,https://www.accessdata.fda.gov/drugsatfda_docs/label/2016/761029s000lbl.pdf
BIOD00087,Link,http://search.ebscohost.com/login.aspx?direct=true&site=DynaMed&id=233015
BIOD00107,Link,http://www.google.ca/patents/US8226949
EXPT00965,Teratogenic mechanisms for medical drugs,https://academic.oup.com/humupd/article/16/4/378/798049
NUTR00026,Endari Approval Article,https://www.drugs.com/newdrugs/fda-approves-endari-l-glutamine-oral-powder-sickle-cell-4555.html?utm_source=ddc&utm_medium=email&utm_campaign=Today%27s+news+summary+-+July+8%2C+2017&utm_content=FDA+Approves+Endari+%28L-glutamine+oral+powder%29+for+Sickle+Cell+Disease
NUTR00022,HSDB: Creatine,https://toxnet.nlm.nih.gov/cgi-bin/sis/search2/r?dbs+hsdb:@term+@DOCNO+7336
EXPT03227,Link,http://lpi.oregonstate.edu/infocenter/vitamins/vitaminE/
APRD00147,MSDS  citalopram,https://www.spectrumchemical.com/MSDS/C2408ANSI-C2408AGHS.pdf
APRD00234,Link,http://www.minrad.com/clin/s347.html
APRD01198,Pfizer,http://www.pfizer.com/news/press-release/press-release-detail/u_s_fda_approves_lyrica_cr_pregabalin_extended_release_tablets_cv
DB06396,Link,http://en.wikipedia.org/wiki/Mesalamine
APRD00241,Link,https://www.pharmgkb.org/pathway/PA145011115
APRD00064,Link,http://www.bccancer.bc.ca/HPI/DrugDatabase/DrugIndexPro/Amsacrine.htm
APRD00247,Link,http://www.emedicine.com/ent/topic20.htm
APRD01101,Link,http://newdruginformation.com/Trest.htm
APRD00101,"Navelbine, PDR",http://www.pdr.net/drug-summary/Navelbine-vinorelbine-tartrate-2360
DB08625,Link,http://www.inchem.org/documents/pims/pharm/timolol.htm
APRD00941,Link,http://www.patient.co.uk/showdoc/30003042/
APRD00209,Link,http://www.bccancer.bc.ca/HPI/DrugDatabase/DrugIndexPro/Streptozocin.htm
APRD00201,Link,http://www.bccancer.bc.ca/HPI/DrugDatabase/DrugIndexPro/Gemcitabine.htm
APRD00020,Link,http://www.sigmaaldrich.com/catalog/search/ProductDetail/SIGMA/P7791
DB08002,TOXNET: Imipramine,http://toxnet.nlm.nih.gov/cgi-bin/sis/search2/r?dbs+hsdb:@term+@DOCNO+3100
